username,wpm,accuracy,raw_wpm,errors,difficulty,time_taken,test_date
nikhil,0.00,14.40,313.39,107,easy,4,2025-11-07 10:54:33
ojasgaur,15.03,92.65,23.76,10,easy,68,2025-11-07 01:17:41
ojasgaur,15.03,92.65,23.76,10,easy,68,2025-11-07 01:17:41
deep,0.00,32.35,61.48,92,easy,26,2025-11-07 00:51:26
deep,0.00,32.35,61.48,92,easy,26,2025-11-07 00:51:26
yaswanth,11.35,94.24,15.93,8,easy,104,2025-11-05 00:38:49
yaswanth,11.35,94.24,15.93,8,easy,104,2025-11-05 00:38:49
pratham,16.89,94.78,22.86,7,easy,70,2025-11-03 23:04:43
pratham,16.89,94.78,22.86,7,easy,70,2025-11-03 23:04:43
AMIT KHANDELWAL,0.00,2.01,284.59,146,easy,6,2025-11-03 01:56:53
AMIT KHANDELWAL,0.00,2.01,284.59,146,easy,6,2025-11-03 01:56:53
AMIT KHANDELWAL,0.00,46.99,31.84,88,easy,62,2025-11-03 01:56:35
AMIT KHANDELWAL,0.00,46.99,31.84,88,easy,62,2025-11-03 01:56:35
sayujya apte,20.48,95.86,25.82,6,easy,67,2025-10-31 14:20:57
sayujya apte,20.48,95.86,25.82,6,easy,67,2025-10-31 14:20:57
pratham,20.22,96.55,24.44,5,easy,71,2025-10-27 16:13:03
pratham,20.22,96.55,24.44,5,easy,71,2025-10-27 16:13:03
